#Thickness(um)           XX(%)           YY(%)           ZZ(%)      Average(%)
     3.10000         31.4536         31.4536         31.4536         31.4536
     3.11000         31.4536         31.4536         31.4536         31.4536
     3.12000         31.4536         31.4536         31.4536         31.4536
     3.13000         31.4537         31.4537         31.4537         31.4537
     3.14000         31.4537         31.4537         31.4537         31.4537
     3.15000         31.4537         31.4537         31.4537         31.4537
     3.16000         31.4538         31.4538         31.4538         31.4538
     3.17000         31.4538         31.4538         31.4538         31.4538
     3.18000         31.4538         31.4538         31.4538         31.4538
     3.19000         31.4539         31.4539         31.4539         31.4539
     3.20000         31.4539         31.4539         31.4539         31.4539
     3.21000         31.4539         31.4539         31.4539         31.4539
     3.22000         31.4540         31.4540         31.4540         31.4540
     3.23000         31.4540         31.4540         31.4540         31.4540
     3.24000         31.4540         31.4540         31.4540         31.4540
     3.25000         31.4540         31.4540         31.4540         31.4540
     3.26000         31.4541         31.4541         31.4541         31.4541
     3.27000         31.4541         31.4541         31.4541         31.4541
     3.28000         31.4541         31.4541         31.4541         31.4541
     3.29000         31.4541         31.4541         31.4541         31.4541
     3.30000         31.4541         31.4541         31.4541         31.4541
     3.31000         31.4542         31.4542         31.4542         31.4542
     3.32000         31.4542         31.4542         31.4542         31.4542
     3.33000         31.4542         31.4542         31.4542         31.4542
     3.34000         31.4542         31.4542         31.4542         31.4542
     3.35000         31.4542         31.4542         31.4542         31.4542
     3.36000         31.4543         31.4543         31.4543         31.4543
     3.37000         31.4543         31.4543         31.4543         31.4543
     3.38000         31.4543         31.4543         31.4543         31.4543
     3.39000         31.4543         31.4543         31.4543         31.4543
     3.40000         31.4543         31.4543         31.4543         31.4543
     3.41000         31.4543         31.4543         31.4543         31.4543
     3.42000         31.4544         31.4544         31.4544         31.4544
     3.43000         31.4544         31.4544         31.4544         31.4544
     3.44000         31.4544         31.4544         31.4544         31.4544
     3.45000         31.4544         31.4544         31.4544         31.4544
     3.46000         31.4544         31.4544         31.4544         31.4544
     3.47000         31.4544         31.4544         31.4544         31.4544
     3.48000         31.4544         31.4544         31.4544         31.4544
     3.49000         31.4544         31.4544         31.4544         31.4544
     3.50000         31.4545         31.4545         31.4545         31.4545
     3.51000         31.4545         31.4545         31.4545         31.4545
