 #energy    xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
 10.2532  0.16284796E+07  0.16284796E+07  0.16284796E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.3063  0.16689387E+07  0.16689387E+07  0.16689387E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.3594  0.17074511E+07  0.17074511E+07  0.17074511E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.4125  0.17231240E+07  0.17231240E+07  0.17231240E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.4657  0.17115734E+07  0.17115734E+07  0.17115734E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.5188  0.16822006E+07  0.16822006E+07  0.16822006E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.5719  0.16434882E+07  0.16434882E+07  0.16434882E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.6251  0.15994898E+07  0.15994898E+07  0.15994898E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.6782  0.15621070E+07  0.15621070E+07  0.15621070E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.7313  0.15457773E+07  0.15457773E+07  0.15457773E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.7844  0.15475825E+07  0.15475825E+07  0.15475825E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.8376  0.15474185E+07  0.15474185E+07  0.15474185E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.8907  0.15353167E+07  0.15353167E+07  0.15353167E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.9438  0.15128273E+07  0.15128273E+07  0.15128273E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 10.9969  0.14842936E+07  0.14842936E+07  0.14842936E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.0501  0.14692946E+07  0.14692946E+07  0.14692946E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.1032  0.14846746E+07  0.14846746E+07  0.14846746E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.1563  0.15241450E+07  0.15241450E+07  0.15241450E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.2094  0.15681096E+07  0.15681096E+07  0.15681096E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.2626  0.15956562E+07  0.15956562E+07  0.15956562E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.3157  0.16009796E+07  0.16009796E+07  0.16009796E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.3688  0.15900694E+07  0.15900694E+07  0.15900694E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.4219  0.15724032E+07  0.15724032E+07  0.15724032E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.4751  0.15599987E+07  0.15599987E+07  0.15599987E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.5282  0.15567944E+07  0.15567944E+07  0.15567944E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.5813  0.15590765E+07  0.15590765E+07  0.15590765E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.6344  0.15573982E+07  0.15573982E+07  0.15573982E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.6876  0.15426846E+07  0.15426846E+07  0.15426846E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.7407  0.15228450E+07  0.15228450E+07  0.15228450E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.7938  0.15101818E+07  0.15101818E+07  0.15101818E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.8469  0.15028731E+07  0.15028731E+07  0.15028731E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.9001  0.14982581E+07  0.14982581E+07  0.14982581E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 11.9532  0.14969527E+07  0.14969527E+07  0.14969527E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 12.0063  0.14975571E+07  0.14975571E+07  0.14975571E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
 12.0594  0.14976976E+07  0.14976976E+07  0.14976976E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
