             #Energy(eV)         XX(1/Omega/m/s)         YY(1/Omega/m/s)         ZZ(1/Omega/m/s)    Average(1/Omega/m/s)
     -0.122722722723E+01      0.128898744826E+21      0.124138420423E+21      0.118720465327E+21      0.123919210192E+21
     -0.122322322322E+01      0.128887424728E+21      0.124188030926E+21      0.118844663214E+21      0.123973372956E+21
     -0.121921921922E+01      0.128917909480E+21      0.124269683003E+21      0.118988006387E+21      0.124058532957E+21
     -0.121521521522E+01      0.128993720954E+21      0.124383325635E+21      0.119147113958E+21      0.124174720182E+21
     -0.121121121121E+01      0.129117584774E+21      0.124528304789E+21      0.119318503710E+21      0.124321464424E+21
     -0.120720720721E+01      0.129291306896E+21      0.124703388370E+21      0.119498682212E+21      0.124497792492E+21
     -0.120320320320E+01      0.129515663114E+21      0.124906809568E+21      0.119684218622E+21      0.124702230434E+21
     -0.119919919920E+01      0.129790318729E+21      0.125136330419E+21      0.119871814420E+21      0.124932821189E+21
     -0.119519519520E+01      0.130113792730E+21      0.125389323479E+21      0.120058377924E+21      0.125187164711E+21
     -0.119119119119E+01      0.130483474807E+21      0.125662865747E+21      0.120241106089E+21      0.125462482214E+21
     -0.118718718719E+01      0.130895696143E+21      0.125953836975E+21      0.120417569974E+21      0.125755701031E+21
     -0.118318318318E+01      0.131345848119E+21      0.126259014639E+21      0.120585796878E+21      0.126063553212E+21
     -0.117917917918E+01      0.131828538031E+21      0.126575159485E+21      0.120744341689E+21      0.126382679735E+21
     -0.117517517518E+01      0.132337768481E+21      0.126899087938E+21      0.120892341627E+21      0.126709732682E+21
     -0.117117117117E+01      0.132867127284E+21      0.127227730259E+21      0.121029550321E+21      0.127041469288E+21
     -0.116716716717E+01      0.133409977155E+21      0.127558175897E+21      0.121156348188E+21      0.127374833747E+21
     -0.116316316316E+01      0.133959638027E+21      0.127887709955E+21      0.121273726250E+21      0.127707024744E+21
     -0.115915915916E+01      0.134509558176E+21      0.128213846363E+21      0.121383240853E+21      0.128035548464E+21
     -0.115515515516E+01      0.135053472050E+21      0.128534363263E+21      0.121486938071E+21      0.128358257794E+21
     -0.115115115115E+01      0.135585542081E+21      0.128847343423E+21      0.121587249380E+21      0.128673378294E+21
     -0.114714714715E+01      0.136100479140E+21      0.129151217429E+21      0.121686863676E+21      0.128979520082E+21
     -0.114314314314E+01      0.136593633289E+21      0.129444801298E+21      0.121788584126E+21      0.129275672904E+21
     -0.113913913914E+01      0.137061045079E+21      0.129727315611E+21      0.121895180511E+21      0.129561180401E+21
     -0.113513513514E+01      0.137499449570E+21      0.129998372454E+21      0.122009248519E+21      0.129835690181E+21
     -0.113113113113E+01      0.137906230865E+21      0.130257920650E+21      0.122133086896E+21      0.130099079470E+21
     -0.112712712713E+01      0.138279333112E+21      0.130506148107E+21      0.122268601846E+21      0.130351361021E+21
     -0.112312312312E+01      0.138617142137E+21      0.130743350255E+21      0.122417245525E+21      0.130592579306E+21
     -0.111911911912E+01      0.138918357552E+21      0.130969782331E+21      0.122579991660E+21      0.130822710514E+21
     -0.111511511512E+01      0.139181876399E+21      0.131185517995E+21      0.122757345803E+21      0.131041580066E+21
     -0.111111111111E+01      0.139406705656E+21      0.131390336053E+21      0.122949381001E+21      0.131248807570E+21
     -0.110710710711E+01      0.139591913219E+21      0.131583651038E+21      0.123155783035E+21      0.131443782431E+21
     -0.110310310310E+01      0.139736617132E+21      0.131764493747E+21      0.123375885195E+21      0.131625665358E+21
     -0.109909909910E+01      0.139840003324E+21      0.131931536759E+21      0.123608672987E+21      0.131793404357E+21
     -0.109509509510E+01      0.139901355109E+21      0.132083150330E+21      0.123852745618E+21      0.131945750352E+21
