             #Energy(eV)           XX(uW/cm/K^2)           YY(uW/cm/K^2)           ZZ(uW/cm/K^2)      Average(uW/cm/K^2)
     -0.129929929930E+01      0.418904189766E-01      0.653717119356E-02      0.108123736485E+00      0.521837755516E-01
     -0.129529529530E+01      0.246948976729E-01      0.108041240291E-01      0.105012968956E+00      0.468373302193E-01
     -0.129129129129E+01      0.126066332186E-01      0.152716052486E-01      0.998419018277E-01      0.425733800983E-01
     -0.128728728729E+01      0.496788108226E-02      0.194796714894E-01      0.928188688925E-01      0.390888071547E-01
     -0.128328328328E+01      0.103445989338E-02      0.230363553397E-01      0.842138667987E-01      0.360948940106E-01
     -0.127927927928E+01      0.515934155976E-05      0.256311076360E-01      0.743439557250E-01      0.333267409009E-01
     -0.127527527528E+01      0.104962019614E-02      0.270421482261E-01      0.635680839627E-01      0.305532841283E-01
     -0.127127127127E+01      0.333868778441E-02      0.271414998734E-01      0.522899296629E-01      0.275900391069E-01
     -0.126726726727E+01      0.608148102736E-02      0.259009364086E-01      0.409628399888E-01      0.243150858083E-01
     -0.126326326326E+01      0.857149260879E-02      0.233999232525E-01      0.300883780437E-01      0.206865979683E-01
     -0.125925925926E+01      0.102403870244E-01      0.198336744382E-01      0.202004703713E-01      0.167581772779E-01
     -0.125525525526E+01      0.107139753942E-01      0.155168877262E-01      0.118309342541E-01      0.126872657915E-01
     -0.125125125125E+01      0.986168813115E-02      0.108777277568E-01      0.545838898302E-02      0.873260162364E-02
     -0.124724724725E+01      0.783005283734E-02      0.643786302722E-02      0.144924913911E-02      0.523905500122E-02
     -0.124324324324E+01      0.505261289322E-02      0.277755417291E-02      0.410557761954E-05      0.261142421458E-02
     -0.123923923924E+01      0.223259364198E-02      0.488737235292E-03      0.112320645553E-02      0.128151244427E-02
     -0.123523523524E+01      0.298811852278E-03      0.122156344625E-03      0.460039628487E-02      0.167378816059E-02
     -0.123123123123E+01      0.338268814817E-03      0.213574008213E-02      0.100472620686E-01      0.417375698851E-02
     -0.122722722723E+01      0.350996768536E-02      0.685050843579E-02      0.169413718240E-01      0.910061598171E-02
     -0.122322322322E+01      0.109444245139E-01      0.144182521967E-01      0.246873944807E-01      0.166833570637E-01
     -0.121921921922E+01      0.236335403399E-01      0.248032375777E-01      0.326790887734E-01      0.270386222303E-01
     -0.121521521522E+01      0.423171620032E-01      0.377789339808E-01      0.403530540529E-01      0.401497166789E-01
     -0.121121121121E+01      0.673758485803E-01      0.529400879769E-01      0.472296535477E-01      0.558485300350E-01
     -0.120720720721E+01      0.987428215037E-01      0.697297200968E-01      0.529403939116E-01      0.738043118374E-01
     -0.120320320320E+01      0.135849821767E+00      0.874793030992E-01      0.572430295229E-01      0.935240514630E-01
     -0.119919919920E+01      0.177619934813E+00      0.105458579755E+00      0.600258831975E-01      0.114368132589E+00
     -0.119519519520E+01      0.222514867533E+00      0.122929808063E+00      0.613023534612E-01      0.135582343019E+00
     -0.119119119119E+01      0.268635674188E+00      0.139200383529E+00      0.611963687138E-01      0.156344142143E+00
     -0.118718718719E+01      0.313866683083E+00      0.153668138855E+00      0.599201059269E-01      0.175818309288E+00
