             #Energy(eV)             XX(W/K/m/s)             YY(W/K/m/s)             ZZ(W/K/m/s)        Average(W/K/m/s)
     -0.140740740741E+01      0.470577182953E+16      0.470577182953E+16      0.470577182953E+16      0.470577182953E+16
     -0.140340340340E+01      0.468222552236E+16      0.468222552236E+16      0.468222552236E+16      0.468222552236E+16
     -0.139939939940E+01      0.465875034670E+16      0.465875034670E+16      0.465875034670E+16      0.465875034670E+16
     -0.139539539540E+01      0.463514079677E+16      0.463514079677E+16      0.463514079677E+16      0.463514079677E+16
     -0.139139139139E+01      0.461122129920E+16      0.461122129920E+16      0.461122129920E+16      0.461122129920E+16
     -0.138738738739E+01      0.458686380024E+16      0.458686380024E+16      0.458686380024E+16      0.458686380024E+16
     -0.138338338338E+01      0.456199777312E+16      0.456199777312E+16      0.456199777312E+16      0.456199777312E+16
     -0.137937937938E+01      0.453661131098E+16      0.453661131098E+16      0.453661131098E+16      0.453661131098E+16
     -0.137537537538E+01      0.451074377797E+16      0.451074377797E+16      0.451074377797E+16      0.451074377797E+16
     -0.137137137137E+01      0.448447201565E+16      0.448447201565E+16      0.448447201565E+16      0.448447201565E+16
     -0.136736736737E+01      0.445789305329E+16      0.445789305329E+16      0.445789305329E+16      0.445789305329E+16
     -0.136336336336E+01      0.443110652902E+16      0.443110652902E+16      0.443110652902E+16      0.443110652902E+16
     -0.135935935936E+01      0.440419962220E+16      0.440419962220E+16      0.440419962220E+16      0.440419962220E+16
     -0.135535535536E+01      0.437723636529E+16      0.437723636529E+16      0.437723636529E+16      0.437723636529E+16
     -0.135135135135E+01      0.435025198150E+16      0.435025198150E+16      0.435025198150E+16      0.435025198150E+16
     -0.134734734735E+01      0.432325169147E+16      0.432325169147E+16      0.432325169147E+16      0.432325169147E+16
     -0.134334334334E+01      0.429621258115E+16      0.429621258115E+16      0.429621258115E+16      0.429621258115E+16
     -0.133933933934E+01      0.426908688595E+16      0.426908688595E+16      0.426908688595E+16      0.426908688595E+16
     -0.133533533534E+01      0.424180550416E+16      0.424180550416E+16      0.424180550416E+16      0.424180550416E+16
     -0.133133133133E+01      0.421428153295E+16      0.421428153295E+16      0.421428153295E+16      0.421428153295E+16
     -0.132732732733E+01      0.418641471483E+16      0.418641471483E+16      0.418641471483E+16      0.418641471483E+16
     -0.132332332332E+01      0.415809837300E+16      0.415809837300E+16      0.415809837300E+16      0.415809837300E+16
     -0.131931931932E+01      0.412923028204E+16      0.412923028204E+16      0.412923028204E+16      0.412923028204E+16
     -0.131531531532E+01      0.409972784753E+16      0.409972784753E+16      0.409972784753E+16      0.409972784753E+16
     -0.131131131131E+01      0.406954624031E+16      0.406954624031E+16      0.406954624031E+16      0.406954624031E+16
     -0.130730730731E+01      0.403869636986E+16      0.403869636986E+16      0.403869636986E+16      0.403869636986E+16
     -0.130330330330E+01      0.400725851391E+16      0.400725851391E+16      0.400725851391E+16      0.400725851391E+16
     -0.129929929930E+01      0.397538757729E+16      0.397538757729E+16      0.397538757729E+16      0.397538757729E+16
     -0.129529529530E+01      0.394330742331E+16      0.394330742331E+16      0.394330742331E+16      0.394330742331E+16
     -0.129129129129E+01      0.391129410780E+16      0.391129410780E+16      0.391129410780E+16      0.391129410780E+16
     -0.128728728729E+01      0.387965041654E+16      0.387965041654E+16      0.387965041654E+16      0.387965041654E+16
     -0.128328328328E+01      0.384867609253E+16      0.384867609253E+16      0.384867609253E+16      0.384867609253E+16
     -0.127927927928E+01      0.381863901221E+16      0.381863901221E+16      0.381863901221E+16      0.381863901221E+16
     -0.127527527528E+01      0.378975218849E+16      0.378975218849E+16      0.378975218849E+16      0.378975218849E+16
     -0.127127127127E+01      0.376216005868E+16      0.376216005868E+16      0.376216005868E+16      0.376216005868E+16
     -0.126726726727E+01      0.373593548261E+16      0.373593548261E+16      0.373593548261E+16      0.373593548261E+16
     -0.126326326326E+01      0.371108670547E+16      0.371108670547E+16      0.371108670547E+16      0.371108670547E+16
     -0.125925925926E+01      0.368757164306E+16      0.368757164306E+16      0.368757164306E+16      0.368757164306E+16
     -0.125525525526E+01      0.366531554089E+16      0.366531554089E+16      0.366531554089E+16      0.366531554089E+16
     -0.125125125125E+01      0.364422756204E+16      0.364422756204E+16      0.364422756204E+16      0.364422756204E+16
     -0.124724724725E+01      0.362421228768E+16      0.362421228768E+16      0.362421228768E+16      0.362421228768E+16
     -0.124324324324E+01      0.360517345029E+16      0.360517345029E+16      0.360517345029E+16      0.360517345029E+16
     -0.123923923924E+01      0.358700925990E+16      0.358700925990E+16      0.358700925990E+16      0.358700925990E+16
     -0.123523523524E+01      0.356960102582E+16      0.356960102582E+16      0.356960102582E+16      0.356960102582E+16
     -0.123123123123E+01      0.355279886543E+16      0.355279886543E+16      0.355279886543E+16      0.355279886543E+16
     -0.122722722723E+01      0.353640954227E+16      0.353640954227E+16      0.353640954227E+16      0.353640954227E+16
     -0.122322322322E+01      0.352019144408E+16      0.352019144408E+16      0.352019144408E+16      0.352019144408E+16
     -0.121921921922E+01      0.350386025990E+16      0.350386025990E+16      0.350386025990E+16      0.350386025990E+16
     -0.121521521522E+01      0.348710631574E+16      0.348710631574E+16      0.348710631574E+16      0.348710631574E+16
     -0.121121121121E+01      0.346962143963E+16      0.346962143963E+16      0.346962143963E+16      0.346962143963E+16
     -0.120720720721E+01      0.345113053163E+16      0.345113053163E+16      0.345113053163E+16      0.345113053163E+16
     -0.120320320320E+01      0.343142153481E+16      0.343142153481E+16      0.343142153481E+16      0.343142153481E+16
     -0.119919919920E+01      0.341036770358E+16      0.341036770358E+16      0.341036770358E+16      0.341036770358E+16
     -0.119519519520E+01      0.338793787719E+16      0.338793787719E+16      0.338793787719E+16      0.338793787719E+16
     -0.119119119119E+01      0.336419331486E+16      0.336419331486E+16      0.336419331486E+16      0.336419331486E+16
     -0.118718718719E+01      0.333927268895E+16      0.333927268895E+16      0.333927268895E+16      0.333927268895E+16
     -0.118318318318E+01      0.331336924783E+16      0.331336924783E+16      0.331336924783E+16      0.331336924783E+16
     -0.117917917918E+01      0.328670540491E+16      0.328670540491E+16      0.328670540491E+16      0.328670540491E+16
     -0.117517517518E+01      0.325950990563E+16      0.325950990563E+16      0.325950990563E+16      0.325950990563E+16
     -0.117117117117E+01      0.323200142553E+16      0.323200142553E+16      0.323200142553E+16      0.323200142553E+16
     -0.116716716717E+01      0.320438036552E+16      0.320438036552E+16      0.320438036552E+16      0.320438036552E+16
     -0.116316316316E+01      0.317682828189E+16      0.317682828189E+16      0.317682828189E+16      0.317682828189E+16
     -0.115915915916E+01      0.314951240043E+16      0.314951240043E+16      0.314951240043E+16      0.314951240043E+16
     -0.115515515516E+01      0.312259150904E+16      0.312259150904E+16      0.312259150904E+16      0.312259150904E+16
     -0.115115115115E+01      0.309621947864E+16      0.309621947864E+16      0.309621947864E+16      0.309621947864E+16
     -0.114714714715E+01      0.307054371528E+16      0.307054371528E+16      0.307054371528E+16      0.307054371528E+16
     -0.114314314314E+01      0.304569768989E+16      0.304569768989E+16      0.304569768989E+16      0.304569768989E+16
     -0.113913913914E+01      0.302178880798E+16      0.302178880798E+16      0.302178880798E+16      0.302178880798E+16
     -0.113513513514E+01      0.299888468261E+16      0.299888468261E+16      0.299888468261E+16      0.299888468261E+16
     -0.113113113113E+01      0.297700184389E+16      0.297700184389E+16      0.297700184389E+16      0.297700184389E+16
     -0.112712712713E+01      0.295610074746E+16      0.295610074746E+16      0.295610074746E+16      0.295610074746E+16
     -0.112312312312E+01      0.293608961017E+16      0.293608961017E+16      0.293608961017E+16      0.293608961017E+16
     -0.111911911912E+01      0.291683740338E+16      0.291683740338E+16      0.291683740338E+16      0.291683740338E+16
     -0.111511511512E+01      0.289819385475E+16      0.289819385475E+16      0.289819385475E+16      0.289819385475E+16
     -0.111111111111E+01      0.288001226644E+16      0.288001226644E+16      0.288001226644E+16      0.288001226644E+16
     -0.110710710711E+01      0.286216999806E+16      0.286216999806E+16      0.286216999806E+16      0.286216999806E+16
     -0.110310310310E+01      0.284458192392E+16      0.284458192392E+16      0.284458192392E+16      0.284458192392E+16
     -0.109909909910E+01      0.282720395156E+16      0.282720395156E+16      0.282720395156E+16      0.282720395156E+16
     -0.109509509510E+01      0.281002625522E+16      0.281002625522E+16      0.281002625522E+16      0.281002625522E+16
     -0.109109109109E+01      0.279305847889E+16      0.279305847889E+16      0.279305847889E+16      0.279305847889E+16
     -0.108708708709E+01      0.277631107881E+16      0.277631107881E+16      0.277631107881E+16      0.277631107881E+16
     -0.108308308308E+01      0.275977774169E+16      0.275977774169E+16      0.275977774169E+16      0.275977774169E+16
     -0.107907907908E+01      0.274342331607E+16      0.274342331607E+16      0.274342331607E+16      0.274342331607E+16
     -0.107507507508E+01      0.272718013450E+16      0.272718013450E+16      0.272718013450E+16      0.272718013450E+16
     -0.107107107107E+01      0.271095341129E+16      0.271095341129E+16      0.271095341129E+16      0.271095341129E+16
     -0.106706706707E+01      0.269463411743E+16      0.269463411743E+16      0.269463411743E+16      0.269463411743E+16
     -0.106306306306E+01      0.267811591475E+16      0.267811591475E+16      0.267811591475E+16      0.267811591475E+16
     -0.105905905906E+01      0.266131181801E+16      0.266131181801E+16      0.266131181801E+16      0.266131181801E+16
     -0.105505505506E+01      0.264416647026E+16      0.264416647026E+16      0.264416647026E+16      0.264416647026E+16
     -0.105105105105E+01      0.262666118056E+16      0.262666118056E+16      0.262666118056E+16      0.262666118056E+16
     -0.104704704705E+01      0.260881081438E+16      0.260881081438E+16      0.260881081438E+16      0.260881081438E+16
     -0.104304304304E+01      0.259065369518E+16      0.259065369518E+16      0.259065369518E+16      0.259065369518E+16
     -0.103903903904E+01      0.257223732412E+16      0.257223732412E+16      0.257223732412E+16      0.257223732412E+16
     -0.103503503504E+01      0.255360356831E+16      0.255360356831E+16      0.255360356831E+16      0.255360356831E+16
     -0.103103103103E+01      0.253477687895E+16      0.253477687895E+16      0.253477687895E+16      0.253477687895E+16
     -0.102702702703E+01      0.251575819548E+16      0.251575819548E+16      0.251575819548E+16      0.251575819548E+16
     -0.102302302302E+01      0.249652575820E+16      0.249652575820E+16      0.249652575820E+16      0.249652575820E+16
     -0.101901901902E+01      0.247704244784E+16      0.247704244784E+16      0.247704244784E+16      0.247704244784E+16
     -0.101501501502E+01      0.245726784349E+16      0.245726784349E+16      0.245726784349E+16      0.245726784349E+16
     -0.101101101101E+01      0.243717221868E+16      0.243717221868E+16      0.243717221868E+16      0.243717221868E+16
     -0.100700700701E+01      0.241674935022E+16      0.241674935022E+16      0.241674935022E+16      0.241674935022E+16
     -0.100300300300E+01      0.239602533877E+16      0.239602533877E+16      0.239602533877E+16      0.239602533877E+16
     -0.998998998999E+00      0.237506154114E+16      0.237506154114E+16      0.237506154114E+16      0.237506154114E+16
     -0.994994994995E+00      0.235395098548E+16      0.235395098548E+16      0.235395098548E+16      0.235395098548E+16
     -0.990990990991E+00      0.233280900945E+16      0.233280900945E+16      0.233280900945E+16      0.233280900945E+16
     -0.986986986987E+00      0.231176005107E+16      0.231176005107E+16      0.231176005107E+16      0.231176005107E+16
     -0.982982982983E+00      0.229092329767E+16      0.229092329767E+16      0.229092329767E+16      0.229092329767E+16
     -0.978978978979E+00      0.227040010833E+16      0.227040010833E+16      0.227040010833E+16      0.227040010833E+16
     -0.974974974975E+00      0.225026571474E+16      0.225026571474E+16      0.225026571474E+16      0.225026571474E+16
     -0.970970970971E+00      0.223056674023E+16      0.223056674023E+16      0.223056674023E+16      0.223056674023E+16
     -0.966966966967E+00      0.221132475125E+16      0.221132475125E+16      0.221132475125E+16      0.221132475125E+16
     -0.962962962963E+00      0.219254467354E+16      0.219254467354E+16      0.219254467354E+16      0.219254467354E+16
     -0.958958958959E+00      0.217422581416E+16      0.217422581416E+16      0.217422581416E+16      0.217422581416E+16
     -0.954954954955E+00      0.215637271293E+16      0.215637271293E+16      0.215637271293E+16      0.215637271293E+16
     -0.950950950951E+00      0.213900321371E+16      0.213900321371E+16      0.213900321371E+16      0.213900321371E+16
     -0.946946946947E+00      0.212215189202E+16      0.212215189202E+16      0.212215189202E+16      0.212215189202E+16
