             #Energy(eV)           XX(uW/cm/K^2)           YY(uW/cm/K^2)           ZZ(uW/cm/K^2)      Average(uW/cm/K^2)
     -0.142742742743E+01      0.920254093213E+01      0.920254093213E+01      0.920254093213E+01      0.920254093213E+01
     -0.142342342342E+01      0.949929660937E+01      0.949929660937E+01      0.949929660937E+01      0.949929660937E+01
     -0.141941941942E+01      0.977258402130E+01      0.977258402130E+01      0.977258402130E+01      0.977258402130E+01
     -0.141541541542E+01      0.100130343086E+02      0.100130343086E+02      0.100130343086E+02      0.100130343086E+02
     -0.141141141141E+01      0.102120664708E+02      0.102120664708E+02      0.102120664708E+02      0.102120664708E+02
     -0.140740740741E+01      0.103627720753E+02      0.103627720753E+02      0.103627720753E+02      0.103627720753E+02
     -0.140340340340E+01      0.104607112113E+02      0.104607112113E+02      0.104607112113E+02      0.104607112113E+02
     -0.139939939940E+01      0.105044373519E+02      0.105044373519E+02      0.105044373519E+02      0.105044373519E+02
     -0.139539539540E+01      0.104956180619E+02      0.104956180619E+02      0.104956180619E+02      0.104956180619E+02
     -0.139139139139E+01      0.104387114144E+02      0.104387114144E+02      0.104387114144E+02      0.104387114144E+02
     -0.138738738739E+01      0.103402634963E+02      0.103402634963E+02      0.103402634963E+02      0.103402634963E+02
     -0.138338338338E+01      0.102079757607E+02      0.102079757607E+02      0.102079757607E+02      0.102079757607E+02
     -0.137937937938E+01      0.100497285728E+02      0.100497285728E+02      0.100497285728E+02      0.100497285728E+02
     -0.137537537538E+01      0.987273447354E+01      0.987273447354E+01      0.987273447354E+01      0.987273447354E+01
     -0.137137137137E+01      0.968294386915E+01      0.968294386915E+01      0.968294386915E+01      0.968294386915E+01
     -0.136736736737E+01      0.948475762116E+01      0.948475762116E+01      0.948475762116E+01      0.948475762116E+01
     -0.136336336336E+01      0.928103480588E+01      0.928103480588E+01      0.928103480588E+01      0.928103480588E+01
     -0.135935935936E+01      0.907333299570E+01      0.907333299570E+01      0.907333299570E+01      0.907333299570E+01
     -0.135535535536E+01      0.886228949826E+01      0.886228949826E+01      0.886228949826E+01      0.886228949826E+01
     -0.135135135135E+01      0.864804698528E+01      0.864804698528E+01      0.864804698528E+01      0.864804698528E+01
     -0.134734734735E+01      0.843064400992E+01      0.843064400992E+01      0.843064400992E+01      0.843064400992E+01
     -0.134334334334E+01      0.821032410229E+01      0.821032410229E+01      0.821032410229E+01      0.821032410229E+01
     -0.133933933934E+01      0.798775605029E+01      0.798775605029E+01      0.798775605029E+01      0.798775605029E+01
     -0.133533533534E+01      0.776418941981E+01      0.776418941981E+01      0.776418941981E+01      0.776418941981E+01
     -0.133133133133E+01      0.754158162288E+01      0.754158162288E+01      0.754158162288E+01      0.754158162288E+01
     -0.132732732733E+01      0.732272102427E+01      0.732272102427E+01      0.732272102427E+01      0.732272102427E+01
     -0.132332332332E+01      0.711134016300E+01      0.711134016300E+01      0.711134016300E+01      0.711134016300E+01
     -0.131931931932E+01      0.691217902386E+01      0.691217902386E+01      0.691217902386E+01      0.691217902386E+01
     -0.131531531532E+01      0.673093861372E+01      0.673093861372E+01      0.673093861372E+01      0.673093861372E+01
     -0.131131131131E+01      0.657407243939E+01      0.657407243939E+01      0.657407243940E+01      0.657407243939E+01
     -0.130730730731E+01      0.644839755891E+01      0.644839755891E+01      0.644839755891E+01      0.644839755891E+01
     -0.130330330330E+01      0.636055381987E+01      0.636055381987E+01      0.636055381987E+01      0.636055381987E+01
     -0.129929929930E+01      0.631637963455E+01      0.631637963455E+01      0.631637963455E+01      0.631637963455E+01
     -0.129529529530E+01      0.632029041900E+01      0.632029041900E+01      0.632029041900E+01      0.632029041900E+01
     -0.129129129129E+01      0.637474018441E+01      0.637474018441E+01      0.637474018441E+01      0.637474018441E+01
     -0.128728728729E+01      0.647982808950E+01      0.647982808950E+01      0.647982808950E+01      0.647982808950E+01
     -0.128328328328E+01      0.663309262297E+01      0.663309262297E+01      0.663309262297E+01      0.663309262297E+01
     -0.127927927928E+01      0.682952129300E+01      0.682952129300E+01      0.682952129300E+01      0.682952129300E+01
     -0.127527527528E+01      0.706178788633E+01      0.706178788633E+01      0.706178788633E+01      0.706178788633E+01
     -0.127127127127E+01      0.732070359821E+01      0.732070359821E+01      0.732070359821E+01      0.732070359821E+01
     -0.126726726727E+01      0.759583007895E+01      0.759583007895E+01      0.759583007895E+01      0.759583007895E+01
     -0.126326326326E+01      0.787616097805E+01      0.787616097805E+01      0.787616097805E+01      0.787616097805E+01
     -0.125925925926E+01      0.815075208318E+01      0.815075208318E+01      0.815075208318E+01      0.815075208318E+01
     -0.125525525526E+01      0.840918638003E+01      0.840918638003E+01      0.840918638003E+01      0.840918638003E+01
     -0.125125125125E+01      0.864180643101E+01      0.864180643101E+01      0.864180643102E+01      0.864180643101E+01
     -0.124724724725E+01      0.883972341442E+01      0.883972341442E+01      0.883972341442E+01      0.883972341442E+01
     -0.124324324324E+01      0.899469654434E+01      0.899469654434E+01      0.899469654434E+01      0.899469654434E+01
     -0.123923923924E+01      0.909903817762E+01      0.909903817762E+01      0.909903817762E+01      0.909903817762E+01
     -0.123523523524E+01      0.914571209698E+01      0.914571209698E+01      0.914571209698E+01      0.914571209698E+01
     -0.123123123123E+01      0.912874192818E+01      0.912874192818E+01      0.912874192818E+01      0.912874192818E+01
     -0.122722722723E+01      0.904394004131E+01      0.904394004131E+01      0.904394004131E+01      0.904394004131E+01
     -0.122322322322E+01      0.888983315066E+01      0.888983315066E+01      0.888983315066E+01      0.888983315066E+01
     -0.121921921922E+01      0.866854474932E+01      0.866854474932E+01      0.866854474932E+01      0.866854474932E+01
     -0.121521521522E+01      0.838634540462E+01      0.838634540462E+01      0.838634540462E+01      0.838634540462E+01
     -0.121121121121E+01      0.805363124436E+01      0.805363124436E+01      0.805363124436E+01      0.805363124436E+01
     -0.120720720721E+01      0.768423345275E+01      0.768423345275E+01      0.768423345275E+01      0.768423345275E+01
     -0.120320320320E+01      0.729415062196E+01      0.729415062196E+01      0.729415062196E+01      0.729415062196E+01
     -0.119919919920E+01      0.689996066770E+01      0.689996066770E+01      0.689996066770E+01      0.689996066770E+01
     -0.119519519520E+01      0.651724793861E+01      0.651724793861E+01      0.651724793861E+01      0.651724793861E+01
     -0.119119119119E+01      0.615935088807E+01      0.615935088807E+01      0.615935088807E+01      0.615935088807E+01
     -0.118718718719E+01      0.583661957553E+01      0.583661957553E+01      0.583661957553E+01      0.583661957553E+01
     -0.118318318318E+01      0.555622325057E+01      0.555622325057E+01      0.555622325057E+01      0.555622325057E+01
     -0.117917917918E+01      0.532241990769E+01      0.532241990769E+01      0.532241990769E+01      0.532241990769E+01
     -0.117517517518E+01      0.513712369519E+01      0.513712369519E+01      0.513712369519E+01      0.513712369519E+01
     -0.117117117117E+01      0.500058665389E+01      0.500058665389E+01      0.500058665389E+01      0.500058665389E+01
     -0.116716716717E+01      0.491203405336E+01      0.491203405336E+01      0.491203405336E+01      0.491203405336E+01
     -0.116316316316E+01      0.487013805274E+01      0.487013805274E+01      0.487013805274E+01      0.487013805274E+01
     -0.115915915916E+01      0.487326728644E+01      0.487326728644E+01      0.487326728644E+01      0.487326728644E+01
     -0.115515515516E+01      0.491950180896E+01      0.491950180896E+01      0.491950180896E+01      0.491950180896E+01
     -0.115115115115E+01      0.500644989394E+01      0.500644989394E+01      0.500644989394E+01      0.500644989394E+01
     -0.114714714715E+01      0.513094323454E+01      0.513094323454E+01      0.513094323454E+01      0.513094323454E+01
     -0.114314314314E+01      0.528871690612E+01      0.528871690612E+01      0.528871690612E+01      0.528871690612E+01
     -0.113913913914E+01      0.547419431828E+01      0.547419431828E+01      0.547419431828E+01      0.547419431828E+01
     -0.113513513514E+01      0.568048727500E+01      0.568048727500E+01      0.568048727500E+01      0.568048727500E+01
     -0.113113113113E+01      0.589968004381E+01      0.589968004381E+01      0.589968004381E+01      0.589968004381E+01
     -0.112712712713E+01      0.612339427544E+01      0.612339427544E+01      0.612339427544E+01      0.612339427544E+01
     -0.112312312312E+01      0.634354292758E+01      0.634354292758E+01      0.634354292758E+01      0.634354292758E+01
     -0.111911911912E+01      0.655310465719E+01      0.655310465719E+01      0.655310465719E+01      0.655310465719E+01
     -0.111511511512E+01      0.674671875213E+01      0.674671875213E+01      0.674671875213E+01      0.674671875213E+01
     -0.111111111111E+01      0.692093551682E+01      0.692093551682E+01      0.692093551682E+01      0.692093551682E+01
     -0.110710710711E+01      0.707405262281E+01      0.707405262281E+01      0.707405262281E+01      0.707405262281E+01
     -0.110310310310E+01      0.720559173282E+01      0.720559173282E+01      0.720559173282E+01      0.720559173282E+01
     -0.109909909910E+01      0.731557680743E+01      0.731557680743E+01      0.731557680743E+01      0.731557680743E+01
     -0.109509509510E+01      0.740382959823E+01      0.740382959823E+01      0.740382959823E+01      0.740382959823E+01
     -0.109109109109E+01      0.746948528823E+01      0.746948528823E+01      0.746948528823E+01      0.746948528823E+01
