             #Energy(eV)                XX(uV/K)                YY(uV/K)                ZZ(uV/K)           Average(uV/K)
     -0.147147147147E+01      0.943976108105E+01      0.943976108105E+01      0.943976108105E+01      0.943976108105E+01
     -0.146746746747E+01      0.958658648844E+01      0.958658648844E+01      0.958658648844E+01      0.958658648844E+01
     -0.146346346346E+01      0.974555591328E+01      0.974555591328E+01      0.974555591328E+01      0.974555591328E+01
     -0.145945945946E+01      0.991882945323E+01      0.991882945323E+01      0.991882945323E+01      0.991882945323E+01
     -0.145545545546E+01      0.101073816226E+02      0.101073816226E+02      0.101073816226E+02      0.101073816226E+02
     -0.145145145145E+01      0.103109531361E+02      0.103109531361E+02      0.103109531361E+02      0.103109531361E+02
     -0.144744744745E+01      0.105281602999E+02      0.105281602999E+02      0.105281602999E+02      0.105281602999E+02
     -0.144344344344E+01      0.107566770309E+02      0.107566770309E+02      0.107566770309E+02      0.107566770309E+02
     -0.143943943944E+01      0.109934127299E+02      0.109934127299E+02      0.109934127299E+02      0.109934127299E+02
     -0.143543543544E+01      0.112346417333E+02      0.112346417333E+02      0.112346417333E+02      0.112346417333E+02
     -0.143143143143E+01      0.114760827237E+02      0.114760827237E+02      0.114760827237E+02      0.114760827237E+02
     -0.142742742743E+01      0.117129633341E+02      0.117129633341E+02      0.117129633341E+02      0.117129633341E+02
     -0.142342342342E+01      0.119401236527E+02      0.119401236527E+02      0.119401236527E+02      0.119401236527E+02
     -0.141941941942E+01      0.121522068788E+02      0.121522068788E+02      0.121522068788E+02      0.121522068788E+02
     -0.141541541542E+01      0.123439586204E+02      0.123439586204E+02      0.123439586204E+02      0.123439586204E+02
     -0.141141141141E+01      0.125106176227E+02      0.125106176227E+02      0.125106176227E+02      0.125106176227E+02
     -0.140740740741E+01      0.126483430273E+02      0.126483430273E+02      0.126483430273E+02      0.126483430273E+02
     -0.140340340340E+01      0.127545990022E+02      0.127545990022E+02      0.127545990022E+02      0.127545990022E+02
     -0.139939939940E+01      0.128284149061E+02      0.128284149061E+02      0.128284149061E+02      0.128284149061E+02
     -0.139539539540E+01      0.128704594390E+02      0.128704594390E+02      0.128704594390E+02      0.128704594390E+02
     -0.139139139139E+01      0.128829047388E+02      0.128829047388E+02      0.128829047388E+02      0.128829047388E+02
     -0.138738738739E+01      0.128691003277E+02      0.128691003277E+02      0.128691003277E+02      0.128691003277E+02
     -0.138338338338E+01      0.128331151203E+02      0.128331151203E+02      0.128331151203E+02      0.128331151203E+02
     -0.137937937938E+01      0.127792289875E+02      0.127792289875E+02      0.127792289875E+02      0.127792289875E+02
     -0.137537537538E+01      0.127114594663E+02      0.127114594663E+02      0.127114594663E+02      0.127114594663E+02
     -0.137137137137E+01      0.126331953676E+02      0.126331953676E+02      0.126331953676E+02      0.126331953676E+02
     -0.136736736737E+01      0.125469824363E+02      0.125469824363E+02      0.125469824363E+02      0.125469824363E+02
     -0.136336336336E+01      0.124544737663E+02      0.124544737663E+02      0.124544737663E+02      0.124544737663E+02
     -0.135935935936E+01      0.123565264596E+02      0.123565264596E+02      0.123565264596E+02      0.123565264596E+02
     -0.135535535536E+01      0.122534023565E+02      0.122534023565E+02      0.122534023565E+02      0.122534023565E+02
     -0.135135135135E+01      0.121450193942E+02      0.121450193942E+02      0.121450193942E+02      0.121450193942E+02
     -0.134734734735E+01      0.120312035460E+02      0.120312035460E+02      0.120312035460E+02      0.120312035460E+02
     -0.134334334334E+01      0.119119078804E+02      0.119119078804E+02      0.119119078804E+02      0.119119078804E+02
     -0.133933933934E+01      0.117873892870E+02      0.117873892870E+02      0.117873892870E+02      0.117873892870E+02
     -0.133533533534E+01      0.116583557534E+02      0.116583557534E+02      0.116583557534E+02      0.116583557534E+02
     -0.133133133133E+01      0.115261081911E+02      0.115261081911E+02      0.115261081911E+02      0.115261081911E+02
     -0.132732732733E+01      0.113926944880E+02      0.113926944880E+02      0.113926944880E+02      0.113926944880E+02
     -0.132332332332E+01      0.112610703090E+02      0.112610703090E+02      0.112610703090E+02      0.112610703090E+02
