    #kx         ky         Energy       Sx       Sy     Sz
    #Grid_Size:    44   44
    #Band_Index:    4
    0.521447    0.020071  -13.138276   0.027  -0.762  -0.086
    0.556210    0.000000  -13.093834  -0.000  -0.762  -0.111
    0.590973   -0.020071  -13.048987  -0.023  -0.759  -0.140
    0.625737   -0.040141  -13.005388  -0.041  -0.752  -0.177
    0.660500   -0.060212  -12.963063  -0.053  -0.742  -0.219
    0.695263   -0.080282  -12.923360  -0.058  -0.725  -0.272
    0.730026   -0.100353  -12.888023  -0.052  -0.701  -0.339
   -0.764789    0.762679  -12.857059  -0.035  -0.670  -0.421
   -0.730026    0.742609  -12.831759   0.004  -0.608  -0.507
   -0.695263    0.722538  -12.813417   0.077  -0.495  -0.588
   -0.660500    0.702468  -12.802035   0.184  -0.330  -0.664
   -0.625737    0.682397  -12.798064   0.295  -0.150  -0.703
   -0.590973    0.662327  -12.801856   0.388   0.015  -0.682
   -0.556210    0.642256  -12.813399   0.463   0.166  -0.602
   -0.521447    0.622186  -12.831845   0.521   0.285  -0.506
   -0.486684    0.602115  -12.856680   0.561   0.362  -0.419
   -0.451921    0.582045  -12.887845   0.584   0.397  -0.341
   -0.417158    0.561974  -12.923456   0.600   0.412  -0.275
   -0.382395    0.541904  -12.962601   0.616   0.417  -0.220
   -0.347631    0.521833  -13.005170   0.631   0.412  -0.176
   -0.312868    0.501763  -13.049040   0.645   0.399  -0.140
   -0.278105    0.481692  -13.093392   0.659   0.381  -0.110
   -0.243342    0.461622  -13.138086   0.674   0.357  -0.085
   -0.208579    0.441551  -13.181313   0.689   0.327  -0.064
   -0.173816    0.421481  -13.222516   0.704   0.292  -0.047
   -0.139053    0.401410  -13.261553   0.719   0.251  -0.033
   -0.104289    0.381340  -13.297110   0.733   0.202  -0.021
   -0.069526    0.361269  -13.328870   0.744   0.144  -0.013
   -0.034763    0.341199  -13.356713   0.752   0.078  -0.008
   -0.000000    0.361269  -13.336752   0.759  -0.000   0.000
    0.034763    0.341199  -13.357070   0.756  -0.082   0.005
    0.069526    0.321128  -13.372320   0.741  -0.165   0.009
    0.104289    0.301058  -13.382504   0.715  -0.249   0.011
    0.139053    0.280987  -13.387621   0.677  -0.335   0.012
    0.173816    0.260917  -13.387651   0.628  -0.420   0.012
    0.208579    0.240846  -13.382507   0.573  -0.495   0.011
    0.243342    0.220776  -13.372181   0.511  -0.560   0.009
    0.278105    0.200705  -13.356795   0.445  -0.614   0.005
    0.312868    0.180635  -13.336744   0.381  -0.658  -0.000
    0.347631    0.160564  -13.312058   0.320  -0.691  -0.007
    0.382395    0.140494  -13.283041   0.261  -0.715  -0.016
    0.417158    0.120423  -13.250472   0.209  -0.733  -0.028
    0.451921    0.100353  -13.214393   0.161  -0.745  -0.043
    0.486684    0.080282  -13.175384   0.120  -0.753  -0.061
    0.521447    0.060212  -13.134641   0.082  -0.758  -0.083
    0.556210    0.040141  -13.092202   0.050  -0.760  -0.109
    0.590973    0.020071  -13.049004   0.023  -0.759  -0.140
    0.625737    0.000000  -13.006583   0.000  -0.753  -0.178
