     #Energy  up_1&5_all  dw_1&5_all    up_3_all    dw_3_all
    20.72913     0.03529    -0.03186     0.02350    -0.02194
    20.84213     0.03785    -0.03872     0.02477    -0.02470
    20.95513     0.03617    -0.03640     0.02465    -0.02412
    21.06813     0.03514    -0.03967     0.02717    -0.04475
    21.18113     0.02989    -0.02999     0.01495    -0.01999
    21.29313     0.00000    -0.13821     0.00000    -0.04147
    21.40613     0.00000     0.00000     0.00000     0.00000
    21.51913     0.00000     0.00000     0.00000     0.00000
    21.63213     0.00000     0.00000     0.00000     0.00000
    21.74513     0.00000     0.00000     0.00000     0.00000
    21.85813     0.00000     0.00000     0.00000     0.00000
    21.97113     0.00000     0.00000     0.00000     0.00000
    22.08413     0.00000     0.00000     0.00000     0.00000
    22.19713     0.00000     0.00000     0.00000     0.00000
    22.30913     0.00000     0.00000     0.00000     0.00000
    22.42213     0.00000     0.00000     0.00000     0.00000
    22.53513     0.00000     0.00000     0.00000     0.00000
    22.64813     0.00000     0.00000     0.00000     0.00000
    22.76113     0.00000     0.00000     0.00000     0.00000
    22.87413     0.00000     0.00000     0.00000     0.00000
    22.98713     0.00000     0.00000     0.00000     0.00000
    23.10013     0.00000     0.00000     0.00000     0.00000
    23.21313     0.00000     0.00000     0.00000     0.00000
    23.32513     0.00000     0.00000     0.00000     0.00000
