#K-Path     Energy-Level
#Band-index    1
  2.346      -11.3609
  2.378      -11.3338
  2.409      -11.3069
  2.441      -11.2807
  2.472      -11.2554
  2.504      -11.2317
  2.535      -11.2100
  2.566      -11.1906
  2.598      -11.1741
  2.629      -11.1609
  2.661      -11.1511
  2.692      -11.1452
  2.723      -11.1432
#Band-index    8
  2.723      -11.1432
  2.692      -11.1425
  2.661      -11.1406
  2.629      -11.1374
  2.598      -11.1329
  2.566      -11.1272
  2.535      -11.1204
  2.504      -11.1126
  2.472      -11.1037
  2.441      -11.0941
  2.409      -11.0836
  2.378      -11.0726
  2.346      -11.0611
  2.315      -11.0493
  2.284      -11.0372
  2.252      -11.0252
  2.221      -11.0133
  2.189      -11.0017
  2.158      -10.9906
  2.126      -10.9801
  2.095      -10.9705
  2.064      -10.9618
  2.032      -10.9542
  2.001      -10.9477
  1.969      -10.9426
  1.938      -10.9389
  1.907      -10.9367
  1.875      -10.9359
  1.875      -10.9359
  1.844      -10.9371
  1.812      -10.9405
  1.781      -10.9461
  1.749      -10.9537
  1.718      -10.9632
  1.686      -10.9743
  1.655      -10.9869
  1.623      -11.0005
  1.592      -11.0150
  1.560      -11.0300
  1.529      -11.0451
  1.497      -11.0602
  1.466      -11.0748
  1.434      -11.0887
  1.403      -11.1017
  1.371      -11.1134
  1.340      -11.1237
  1.308      -11.1324
  1.277      -11.1393
  1.245      -11.1444
  1.214      -11.1474
  1.182      -11.1484
  1.182      -11.1484
  1.150      -11.1484
  1.117      -11.1482
  1.085      -11.1479
  1.052      -11.1476
  1.019      -11.1471
  0.987      -11.1466
  0.954      -11.1461
  0.921      -11.1456
  0.889      -11.1450
  0.856      -11.1445
  0.823      -11.1441
  0.791      -11.1437
  0.758      -11.1434
  0.725      -11.1433
  0.693      -11.1432
  0.693      -11.1432
  0.661      -11.1432
  0.630      -11.1434
  0.598      -11.1437
  0.567      -11.1440
  0.535      -11.1444
  0.504      -11.1448
  0.472      -11.1453
  0.441      -11.1458
  0.409      -11.1462
  0.378      -11.1467
  0.346      -11.1470
  0.315      -11.1473
  0.283      -11.1476
  0.252      -11.1478
  0.220      -11.1479
  0.189      -11.1480
  0.157      -11.1480
  0.126      -11.1480
  0.094      -11.1480
  0.063      -11.1480
  0.031      -11.1480
  0.000      -11.1480
#Band-index    9
  0.000      -10.9340
  0.031      -10.9351
  0.063      -10.9384
  0.094      -10.9439
  0.126      -10.9514
  0.157      -10.9608
  0.189      -10.9717
  0.220      -10.9840
  0.252      -10.9975
  0.283      -11.0117
  0.315      -11.0265
  0.346      -11.0414
  0.378      -11.0562
  0.409      -11.0706
  0.441      -11.0843
  0.472      -11.0971
  0.504      -11.1086
  0.535      -11.1188
  0.567      -11.1274
  0.598      -11.1342
  0.630      -11.1392
  0.661      -11.1422
  0.693      -11.1432
  0.693      -11.1432
  0.725      -11.1433
  0.758      -11.1434
  0.791      -11.1437
  0.823      -11.1441
  0.856      -11.1445
  0.889      -11.1450
  0.921      -11.1456
  0.954      -11.1461
  0.987      -11.1466
  1.019      -11.1471
  1.052      -11.1476
  1.085      -11.1479
  1.117      -11.1482
  1.150      -11.1484
  1.182      -11.1484
  1.182      -11.1484
  1.214      -11.1389
  1.245      -11.1206
  1.277      -11.1010
  1.308      -11.0820
  1.340      -11.0642
  1.371      -11.0476
  1.403      -11.0323
  1.434      -11.0184
  1.466      -11.0058
  1.497      -10.9945
  1.529      -10.9844
  1.560      -10.9754
  1.592      -10.9675
  1.623      -10.9606
  1.655      -10.9546
  1.686      -10.9495
  1.718      -10.9453
  1.749      -10.9419
  1.781      -10.9393
  1.812      -10.9374
  1.844      -10.9363
  1.875      -10.9359
  1.875      -10.9359
  1.907      -10.9367
  1.938      -10.9389
  1.969      -10.9426
  2.001      -10.9477
  2.032      -10.9542
  2.064      -10.9618
  2.095      -10.9705
  2.126      -10.9801
