#K-Path     Energy-Level
#Band-index    1
  0.041       10.6225
  0.000       10.6126
#Band-index    7
  0.000       12.8729
  0.041       12.7179
  0.083       12.4367
  0.124       12.0817
  0.166       11.6914
  0.207       11.2859
  0.248       10.8756
  0.290       10.6917
  0.331       10.5615
  0.372       10.3603
  0.414       10.1054
  0.455        9.8172
  0.497        9.5116
  0.538        9.1989
  0.579        8.8856
  0.621        8.5760
  0.662        8.2726
  0.704        7.9772
  0.745        7.6909
  0.786        7.4147
  0.828        7.1490
  0.869        6.8945
  0.910        6.9059
  0.952        7.1852
  0.993        6.9613
  1.035        6.7503
  1.076        6.5520
  1.117        6.3665
  1.159        6.1937
  1.200        6.0338
  1.241        5.8867
  1.283        5.7524
  1.324        5.6309
  1.366        5.5222
  1.407        5.4263
  1.448        5.3432
  1.490        5.2729
  1.531        5.2154
  1.573        5.1706
  1.614        5.1387
  1.655        5.1195
  1.697        5.1132
  1.697        5.1132
  1.739        5.1197
  1.781        5.1394
  1.823        5.1723
  1.865        5.2183
  1.907        5.2775
  1.949        5.3499
  1.991        5.4354
  2.033        5.5340
  2.075        5.6458
  2.116        5.7707
  2.158        5.9088
  2.200        6.0599
  2.242        6.2240
  2.284        6.4012
  2.326        6.5911
  2.368        6.7938
  2.410        7.0086
  2.452        7.0943
  2.494        6.8900
  2.536        7.0409
  2.578        7.2862
  2.620        7.5574
  2.662        7.6889
  2.704        7.6474
  2.746        7.6214
  2.788        7.7073
  2.830        8.0008
  2.872        8.3457
  2.914        8.7091
  2.956        9.0866
  2.998        9.4763
  3.040        9.8780
  3.082       10.2906
  3.124       10.7120
  3.166       11.0794
  3.166       11.0794
  3.208       11.0852
  3.251       11.1028
  3.293       11.1319
  3.336       11.1726
  3.378       11.2246
  3.421       11.2878
  3.463       11.3617
  3.505       11.4465
  3.548       11.5414
  3.590       11.6219
  3.633       11.4811
  3.675       11.3317
  3.717       11.2372
  3.760       11.6764
  3.802       12.0790
  3.845       12.4072
  3.887       12.5445
  3.930       12.6689
  3.972       12.7800
  4.014       12.8729
#Band-index    8
  4.014       12.8730
  3.972       12.8847
  3.930       12.7946
  3.887       12.6379
  3.845       12.4123
  3.802       12.2767
  3.760       12.1408
  3.717       12.0080
  3.675       11.8804
  3.633       11.7592
  3.590       11.6459
  3.548       11.7210
  3.505       11.6182
  3.463       11.5268
  3.421       11.4472
  3.378       11.3798
  3.336       11.3243
  3.293       11.2810
  3.251       11.2501
  3.208       11.2316
  3.166       11.2254
  3.166       11.2254
  3.124       11.6017
  3.082       11.3930
  3.040       10.9923
  2.998       10.5989
  2.956       10.2152
  2.914        9.8414
  2.872        9.4787
  2.830        9.1275
  2.788        8.7881
  2.746        8.4608
  2.704        8.1462
  2.662        7.8448
  2.620        7.7316
  2.578        7.7596
  2.536        7.6822
  2.494        7.4671
  2.452        7.2343
  2.410        7.4497
  2.368        7.8187
  2.326        8.1612
  2.284        8.2110
  2.242        8.2566
  2.200        8.2947
  2.158        8.3293
  2.116        8.3546
  2.075        8.3722
  2.033        8.3813
  1.991        8.3845
  1.949        8.3779
  1.907        8.3677
  1.865        8.3570
  1.823        8.3440
  1.781        8.3124
  1.739        8.2932
  1.697        8.2872
  1.697        8.2872
  1.655        8.2930
  1.614        8.3116
  1.573        8.3426
  1.531        8.3656
  1.490        8.3924
  1.448        8.4268
  1.407        8.4678
  1.366        8.5205
  1.324        8.5799
  1.283        8.6474
  1.241        8.7250
  1.200        8.8148
  1.159        8.9143
  1.117        8.6648
  1.076        8.3234
  1.035        7.9752
  0.993        7.6228
  0.952        7.2662
  0.910        7.4217
  0.869        7.6709
  0.828        7.9328
  0.786        8.2072
  0.745        8.4943
  0.704        8.7938
  0.662        9.1057
  0.621        9.4300
  0.579        9.7663
  0.538       10.1145
  0.497       10.4745
  0.455       10.8456
  0.414       11.2272
  0.372       11.6181
  0.331       12.0161
  0.290       12.4153
  0.248       12.7973
  0.207       12.9673
  0.166       12.9956
  0.124       13.0017
  0.083       12.9844
  0.041       12.9408
  0.000       12.8730
#Band-index    9
  0.000       13.4684
  0.041       13.4585
  0.083       13.4371
  0.124       13.3859
  0.166       13.2849
  0.207       13.1039
  0.248       12.9199
  0.290       12.7589
  0.331       12.6303
  0.372       12.5120
  0.414       12.2829
  0.455       12.0498
  0.497       11.8155
  0.538       11.5816
  0.579       11.3506
  0.621       11.1240
  0.662       10.9015
  0.704       10.6851
  0.745       10.4781
  0.786       10.2786
  0.828       10.0878
  0.869        9.9048
  0.910        9.7326
  0.952        9.5702
  0.993        9.4175
  1.035        9.2761
  1.076        9.1448
  1.117        9.0236
  1.159        8.9929
  1.200        9.1754
  1.241        9.0344
  1.283        8.9053
  1.324        8.7884
  1.366        8.6834
  1.407        8.5906
  1.448        8.5101
  1.490        8.4419
  1.531        8.3861
  1.573        8.3466
  1.614        8.3332
  1.655        8.3241
  1.697        8.3201
  1.697        8.3201
  1.739        8.3239
  1.781        8.3330
  1.823        8.3444
  1.865        8.3891
  1.907        8.4465
  1.949        8.5167
  1.991        8.5995
  2.033        8.6947
  2.075        8.8021
  2.116        8.9211
  2.158        9.0484
  2.200        9.1331
  2.242        8.8806
  2.284        8.5417
  2.326        8.1862
  2.368        8.1082
  2.410        8.0535
  2.452        8.0003
  2.494        7.9521
  2.536        7.9350
  2.578        8.0699
  2.620        8.3263
  2.662        8.6138
  2.704        8.9186
  2.746        9.2381
  2.788        9.5712
  2.830        9.9176
  2.872       10.2769
  2.914       10.6491
  2.956       11.0339
  2.998       11.4309
  3.040       11.8396
  3.082       12.0463
  3.124       11.7939
  3.166       12.0902
  3.166       12.0902
  3.208       12.0891
  3.251       12.0848
  3.293       12.0754
  3.336       12.0597
  3.378       12.0331
  3.421       11.9922
  3.463       11.9327
  3.505       11.8515
  3.548       11.7471
  3.590       11.8353
  3.633       11.9607
  3.675       12.0974
  3.717       12.2459
  3.760       12.4091
  3.802       12.5959
  3.845       12.8238
  3.887       13.0837
  3.930       13.3083
  3.972       13.4373
  4.014       13.4684
#Band-index   10
  4.014       15.0710
  3.972       14.8107
  3.930       14.5634
  3.887       14.3292
  3.845       14.1083
  3.802       13.9006
  3.760       13.7059
  3.717       13.5249
  3.675       13.3571
  3.633       13.2027
  3.590       13.0616
  3.548       12.9337
  3.505       12.8195
  3.463       12.7186
  3.421       12.6311
  3.378       12.5573
  3.336       12.4966
  3.293       12.4495
  3.251       12.4159
  3.208       12.3957
  3.166       12.3890
  3.166       12.3890
  3.124       12.6889
  3.082       12.2676
  3.040       12.5099
  2.998       12.9703
  2.956       13.4327
  2.914       13.4218
  2.872       13.1179
  2.830       12.8076
  2.788       12.4994
  2.746       12.1969
  2.704       11.9026
  2.662       11.6173
  2.620       11.3418
  2.578       11.0764
  2.536       10.8227
  2.494       10.5799
  2.452       10.3487
  2.410       10.1295
  2.368        9.9224
  2.326        9.7278
  2.284        9.5467
  2.242        9.3829
  2.200        9.3039
  2.158        9.5606
  2.116        9.8522
  2.075        9.8991
  2.033        9.5869
  1.991        9.3043
  1.949        9.0522
  1.907        8.8339
  1.865        8.6524
  1.823        8.5084
