 #energy      xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
   0.754      0.1261E+04      0.1261E+04      0.1261E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.757      0.1272E+04      0.1272E+04      0.1272E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.760      0.1284E+04      0.1284E+04      0.1284E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.764      0.1296E+04      0.1296E+04      0.1296E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.767      0.1309E+04      0.1309E+04      0.1309E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.770      0.1321E+04      0.1321E+04      0.1321E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.774      0.1333E+04      0.1333E+04      0.1333E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.777      0.1345E+04      0.1345E+04      0.1345E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.780      0.1358E+04      0.1358E+04      0.1358E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.784      0.1370E+04      0.1370E+04      0.1370E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.787      0.1382E+04      0.1382E+04      0.1382E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.790      0.1396E+04      0.1396E+04      0.1396E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.794      0.1408E+04      0.1408E+04      0.1408E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.797      0.1420E+04      0.1420E+04      0.1420E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.800      0.1434E+04      0.1434E+04      0.1434E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.804      0.1446E+04      0.1446E+04      0.1446E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.807      0.1459E+04      0.1459E+04      0.1459E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.810      0.1473E+04      0.1473E+04      0.1473E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.814      0.1485E+04      0.1485E+04      0.1485E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.817      0.1499E+04      0.1499E+04      0.1499E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.820      0.1512E+04      0.1512E+04      0.1512E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.824      0.1526E+04      0.1526E+04      0.1526E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.827      0.1538E+04      0.1538E+04      0.1538E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.830      0.1553E+04      0.1553E+04      0.1553E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.834      0.1565E+04      0.1565E+04      0.1565E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.837      0.1580E+04      0.1580E+04      0.1580E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.840      0.1593E+04      0.1593E+04      0.1593E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.844      0.1607E+04      0.1607E+04      0.1607E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.847      0.1620E+04      0.1620E+04      0.1620E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.850      0.1634E+04      0.1634E+04      0.1634E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.854      0.1648E+04      0.1648E+04      0.1648E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.857      0.1662E+04      0.1662E+04      0.1662E+04      0.0000E+00      0.0000E+00      0.0000E+00
   0.860      0.1677E+04      0.1677E+04      0.1677E+04      0.0000E+00      0.0000E+00      0.0000E+00
