  #energy          xx             yy              zz              xy              yz              zx
   0.564      0.5141E-03      0.5141E-03      0.5141E-03             NaN             NaN             NaN
   0.567      0.5174E-03      0.5174E-03      0.5174E-03             NaN             NaN             NaN
   0.570      0.5202E-03      0.5202E-03      0.5202E-03             NaN             NaN             NaN
   0.574      0.5235E-03      0.5235E-03      0.5235E-03             NaN             NaN             NaN
   0.577      0.5263E-03      0.5263E-03      0.5263E-03             NaN             NaN             NaN
   0.580      0.5296E-03      0.5296E-03      0.5296E-03             NaN             NaN             NaN
   0.584      0.5329E-03      0.5329E-03      0.5329E-03             NaN             NaN             NaN
   0.587      0.5356E-03      0.5356E-03      0.5356E-03             NaN             NaN             NaN
   0.590      0.5389E-03      0.5389E-03      0.5389E-03             NaN             NaN             NaN
   0.594      0.5422E-03      0.5422E-03      0.5422E-03             NaN             NaN             NaN
   0.597      0.5450E-03      0.5450E-03      0.5450E-03             NaN             NaN             NaN
   0.600      0.5483E-03      0.5483E-03      0.5483E-03             NaN             NaN             NaN
   0.604      0.5516E-03      0.5515E-03      0.5515E-03             NaN             NaN             NaN
   0.607      0.5542E-03      0.5542E-03      0.5542E-03             NaN             NaN             NaN
   0.610      0.5575E-03      0.5575E-03      0.5575E-03             NaN             NaN             NaN
   0.614      0.5608E-03      0.5608E-03      0.5608E-03             NaN             NaN             NaN
   0.617      0.5635E-03      0.5635E-03      0.5635E-03             NaN             NaN             NaN
   0.620      0.5668E-03      0.5668E-03      0.5668E-03             NaN             NaN             NaN
   0.624      0.5700E-03      0.5700E-03      0.5700E-03             NaN             NaN             NaN
   0.627      0.5733E-03      0.5733E-03      0.5733E-03             NaN             NaN             NaN
   0.630      0.5760E-03      0.5760E-03      0.5760E-03             NaN             NaN             NaN
   0.633      0.5792E-03      0.5792E-03      0.5792E-03             NaN             NaN             NaN
   0.637      0.5825E-03      0.5825E-03      0.5825E-03             NaN             NaN             NaN
   0.640      0.5857E-03      0.5857E-03      0.5857E-03             NaN             NaN             NaN
   0.643      0.5883E-03      0.5883E-03      0.5883E-03             NaN             NaN             NaN
   0.647      0.5916E-03      0.5916E-03      0.5916E-03             NaN             NaN             NaN
   0.650      0.5948E-03      0.5948E-03      0.5948E-03             NaN             NaN             NaN
   0.654      0.5980E-03      0.5980E-03      0.5980E-03             NaN             NaN             NaN
   0.657      0.6012E-03      0.6012E-03      0.6012E-03             NaN             NaN             NaN
   0.660      0.6044E-03      0.6044E-03      0.6044E-03             NaN             NaN             NaN
   0.664      0.6071E-03      0.6071E-03      0.6071E-03             NaN             NaN             NaN
